,feature,importance
398,"value__fft_coefficient__attr_""imag""__coeff_69",0.0006734204920304285
93,value__index_mass_quantile__q_0.7,0.0006562277182116876
673,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.0006534588607990875
486,"value__fft_coefficient__attr_""abs""__coeff_57",0.0006397873671043116
404,"value__fft_coefficient__attr_""imag""__coeff_75",0.0006255341963701231
561,"value__fft_coefficient__attr_""angle""__coeff_33",0.0006197266856485985
271,"value__fft_coefficient__attr_""real""__coeff_41",0.0006142513225369647
494,"value__fft_coefficient__attr_""abs""__coeff_65",0.0005897603415002577
82,value__number_peaks__n_1,0.0005830835832039083
83,value__number_peaks__n_3,0.0005683972769188601
436,"value__fft_coefficient__attr_""abs""__coeff_7",0.0005673319961733608
451,"value__fft_coefficient__attr_""abs""__coeff_22",0.000550014408335416
168,value__ar_coefficient__coeff_9__k_10,0.0005494774069606808
304,"value__fft_coefficient__attr_""real""__coeff_74",0.0005447489669416439
239,"value__fft_coefficient__attr_""real""__coeff_9",0.0005375724100792779
603,"value__fft_coefficient__attr_""angle""__coeff_75",0.0005322239645677599
424,"value__fft_coefficient__attr_""imag""__coeff_95",0.0005289426548950923
519,"value__fft_coefficient__attr_""abs""__coeff_90",0.0005266205189739072
101,"value__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.0005222179194378549
198,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.0005187673268419618
627,"value__fft_coefficient__attr_""angle""__coeff_99",0.0005110486068291092
31,value__maximum,0.0005086465566330833
201,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.0004920633501302411
431,"value__fft_coefficient__attr_""abs""__coeff_2",0.00047518746756019473
86,value__number_peaks__n_50,0.0004734436910168719
480,"value__fft_coefficient__attr_""abs""__coeff_51",0.0004725756126155287
164,value__ar_coefficient__coeff_5__k_10,0.00047231034851541784
466,"value__fft_coefficient__attr_""abs""__coeff_37",0.0004427261435576788
435,"value__fft_coefficient__attr_""abs""__coeff_6",0.00043796143070306095
